request_number,scope,variant,sample_id,dataset,provider,model,attempt,status,http_status,error_type,error_message,input_tokens,cache_hit_input_tokens,cache_miss_input_tokens,output_tokens,total_tokens,latency_ms,estimated_cost_usd,requested_at_utc,completed_at_utc
31,pilot,A,fpb-full-000593,fpb,upstage,solar-pro3,1,success,200,,,174,0,174,3,177,396.09,2.79e-05,2026-07-21T02:37:38.749056+00:00,2026-07-21T02:37:39.144420+00:00
32,pilot,A,fpb-full-000634,fpb,upstage,solar-pro3,1,success,200,,,169,0,169,3,172,425.47,2.715e-05,2026-07-21T02:37:39.457362+00:00,2026-07-21T02:37:39.882226+00:00
33,pilot,A,fpb-full-000645,fpb,upstage,solar-pro3,1,success,200,,,198,0,198,3,201,393.91,3.15e-05,2026-07-21T02:37:40.197235+00:00,2026-07-21T02:37:40.591948+00:00
34,pilot,A,fpb-full-000681,fpb,upstage,solar-pro3,1,success,200,,,157,0,157,3,160,381.02,2.535e-05,2026-07-21T02:37:40.904636+00:00,2026-07-21T02:37:41.285796+00:00
35,pilot,A,fpb-full-000687,fpb,upstage,solar-pro3,1,success,200,,,175,0,175,3,178,388.86,2.805e-05,2026-07-21T02:37:41.599226+00:00,2026-07-21T02:37:41.988098+00:00
36,pilot,A,fpb-full-000692,fpb,upstage,solar-pro3,1,success,200,,,155,0,155,3,158,388.11,2.505e-05,2026-07-21T02:37:42.301555+00:00,2026-07-21T02:37:42.689124+00:00
37,pilot,A,fpb-full-000695,fpb,upstage,solar-pro3,1,success,200,,,172,0,172,3,175,380.49,2.76e-05,2026-07-21T02:37:43.002945+00:00,2026-07-21T02:37:43.383615+00:00
38,pilot,A,fpb-full-000696,fpb,upstage,solar-pro3,1,success,200,,,157,0,157,3,160,394.84,2.535e-05,2026-07-21T02:37:43.696168+00:00,2026-07-21T02:37:44.090622+00:00
39,pilot,A,fpb-full-000710,fpb,upstage,solar-pro3,1,success,200,,,177,0,177,3,180,390.22,2.835e-05,2026-07-21T02:37:44.406114+00:00,2026-07-21T02:37:44.795899+00:00
40,pilot,A,fpb-full-000712,fpb,upstage,solar-pro3,1,success,200,,,196,0,196,3,199,401.44,3.12e-05,2026-07-21T02:37:45.111406+00:00,2026-07-21T02:37:45.513231+00:00
41,pilot,A,fpb-full-000737,fpb,upstage,solar-pro3,1,success,200,,,155,0,155,3,158,431.6,2.505e-05,2026-07-21T02:37:45.843988+00:00,2026-07-21T02:37:46.275906+00:00
42,pilot,A,fpb-full-000796,fpb,upstage,solar-pro3,1,success,200,,,170,0,170,3,173,880.15,2.73e-05,2026-07-21T02:37:46.588491+00:00,2026-07-21T02:37:47.468452+00:00
43,pilot,A,fpb-full-000875,fpb,upstage,solar-pro3,1,success,200,,,177,0,177,3,180,402.38,2.835e-05,2026-07-21T02:37:47.782036+00:00,2026-07-21T02:37:48.184526+00:00
44,pilot,A,fpb-full-000900,fpb,upstage,solar-pro3,1,success,200,,,164,0,164,3,167,949.86,2.64e-05,2026-07-21T02:37:48.498081+00:00,2026-07-21T02:37:49.447701+00:00
45,pilot,A,fpb-full-000980,fpb,upstage,solar-pro3,1,success,200,,,146,0,146,3,149,410.03,2.37e-05,2026-07-21T02:37:49.762033+00:00,2026-07-21T02:37:50.171909+00:00
46,pilot,A,fpb-full-000990,fpb,upstage,solar-pro3,1,success,200,,,144,0,144,3,147,395.49,2.34e-05,2026-07-21T02:37:50.485000+00:00,2026-07-21T02:37:50.879867+00:00
47,pilot,A,fpb-full-000999,fpb,upstage,solar-pro3,1,success,200,,,141,0,141,3,144,408.25,2.295e-05,2026-07-21T02:37:51.193725+00:00,2026-07-21T02:37:51.601947+00:00
48,pilot,A,fpb-full-001040,fpb,upstage,solar-pro3,1,success,200,,,143,0,143,3,146,397.86,2.325e-05,2026-07-21T02:37:51.916304+00:00,2026-07-21T02:37:52.314018+00:00
49,pilot,A,fpb-full-001054,fpb,upstage,solar-pro3,1,success,200,,,179,0,179,3,182,393.38,2.865e-05,2026-07-21T02:37:52.628199+00:00,2026-07-21T02:37:53.021592+00:00
50,pilot,A,fpb-full-001062,fpb,upstage,solar-pro3,1,success,200,,,170,0,170,3,173,407.86,2.73e-05,2026-07-21T02:37:53.335038+00:00,2026-07-21T02:37:53.742681+00:00
51,pilot,A,fpb-full-001085,fpb,upstage,solar-pro3,1,success,200,,,142,0,142,3,145,400.98,2.31e-05,2026-07-21T02:37:54.056357+00:00,2026-07-21T02:37:54.456868+00:00
52,pilot,A,fpb-full-001087,fpb,upstage,solar-pro3,1,success,200,,,156,0,156,3,159,389.0,2.52e-05,2026-07-21T02:37:54.770204+00:00,2026-07-21T02:37:55.158736+00:00
53,pilot,A,fpb-full-001109,fpb,upstage,solar-pro3,1,success,200,,,155,0,155,3,158,403.4,2.505e-05,2026-07-21T02:37:55.472539+00:00,2026-07-21T02:37:55.875772+00:00
54,pilot,A,fpb-full-001122,fpb,upstage,solar-pro3,1,success,200,,,164,0,164,3,167,400.03,2.64e-05,2026-07-21T02:37:56.189643+00:00,2026-07-21T02:37:56.589398+00:00
55,pilot,A,fpb-full-001127,fpb,upstage,solar-pro3,1,success,200,,,161,0,161,3,164,401.09,2.595e-05,2026-07-21T02:37:56.902695+00:00,2026-07-21T02:37:57.303846+00:00
56,pilot,A,fpb-full-001131,fpb,upstage,solar-pro3,1,success,200,,,146,0,146,3,149,391.52,2.37e-05,2026-07-21T02:37:57.617361+00:00,2026-07-21T02:37:58.008390+00:00
57,pilot,A,fpb-full-001137,fpb,upstage,solar-pro3,1,success,200,,,155,0,155,3,158,391.8,2.505e-05,2026-07-21T02:37:58.322483+00:00,2026-07-21T02:37:58.714525+00:00
58,pilot,A,fpb-full-001186,fpb,upstage,solar-pro3,1,success,200,,,153,0,153,3,156,412.79,2.475e-05,2026-07-21T02:37:59.027180+00:00,2026-07-21T02:37:59.440046+00:00
